"Epoch","IMAV_Late_Fusion_ultrasound - _step","IMAV_Late_Fusion_ultrasound - _step__MIN","IMAV_Late_Fusion_ultrasound - _step__MAX","IMAV_Late_Fusion_ultrasound - Acc/Train","IMAV_Late_Fusion_ultrasound - Acc/Train__MIN","IMAV_Late_Fusion_ultrasound - Acc/Train__MAX","IMAV_Mid_Fusion_ultrasound - _step","IMAV_Mid_Fusion_ultrasound - _step__MIN","IMAV_Mid_Fusion_ultrasound - _step__MAX","IMAV_Mid_Fusion_ultrasound - Acc/Train","IMAV_Mid_Fusion_ultrasound - Acc/Train__MIN","IMAV_Mid_Fusion_ultrasound - Acc/Train__MAX","IMAV_no_ultrasound - _step","IMAV_no_ultrasound - _step__MIN","IMAV_no_ultrasound - _step__MAX","IMAV_no_ultrasound - Acc/Train","IMAV_no_ultrasound - Acc/Train__MIN","IMAV_no_ultrasound - Acc/Train__MAX"
"0","23.5","0","47","0.5123586624285575","0.4905599057674408","0.5165292256408267","23.5","0","47","0.5194966025032106","0.4921875","0.5571785314629475","23.5","0","47","0.5154076907165158","0.5125868072112402","0.5234375"
"1","72.5","49","96","0.540090873599684","0.5270182490348816","0.553176861256361","72.5","49","96","0.7039253029483133","0.6969726502895355","0.716796875","72.5","49","96","0.5345260933650638","0.5104166865348816","0.5412646532058716"
"2","121.5","98","145","0.6268249758286325","0.5992838591337204","0.6548716686666012","121.5","98","145","0.7313625748924131","0.7295696877297901","0.7473958134651184","121.5","98","145","0.5717309719837883","0.5620930939912796","0.5777994990348816"
"3","170.5","147","194","0.7103939909369773","0.7051246251378741","0.7150051308174928","170.5","147","194","0.7435641947365442","0.7399088740348816","0.744791673289405","170.5","147","194","0.596880671900962","0.58984375","0.6015894239147505"
"4","219.5","196","243","0.7239143075418603","0.7197265625","0.7286458373069763","219.5","196","243","0.752357944151469","0.7470703125","0.7573567628860474","219.5","196","243","0.6182904132116235","0.609130859375","0.6233565211296082"
"5","268.5","245","292","0.7299645374348233","0.7247178753217062","0.7356770634651184","268.5","245","292","0.7670009429495929","0.7650775326923891","0.7723524371782938","268.5","245","292","0.6379695545810239","0.6254340211550394","0.6428726400647845"
"6","317.5","294","341","0.7412774324409481","0.7396176018212971","0.7483723759651184","317.5","294","341","0.7708223116805771","0.7610676884651184","0.7733651651276483","317.5","294","341","0.6517566241332394","0.646484375","0.6617838740348816"
"7","366.5","343","390","0.7499484539344444","0.7390407919883728","0.7535083823733859","366.5","343","390","0.7765057639290575","0.751953125","0.7797075236837069","366.5","343","390","0.6677138071465533","0.6585286557674408","0.671740543583165"
"8","415.5","392","439","0.756814873807086","0.7482638955116272","0.7623698115348816","415.5","392","439","0.7839218285026859","0.7750650942325592","0.7876441578070322","415.5","392","439","0.6809685334523833","0.6703124880790711","0.6846923803289732"
"9","464.5","441","488","0.7651292427557911","0.7608506927887598","0.7789713740348816","464.5","441","488","0.7933424965247383","0.7915457606315612","0.7994791666666666","464.5","441","488","0.6924919608748495","0.6868851251072354","0.7063801884651184"
"10","513.5","490","537","0.7650272997344802","0.73828125","0.7695174026996532","513.5","490","537","0.7993969146082911","0.7967403037794705","0.8079427182674408","513.5","490","537","0.7014417957247114","0.6944987177848816","0.7044690828169545"
"11","562.5","539","586","0.7738376438362033","0.7698567509651184","0.7820637822151184","562.5","539","586","0.8016845655841823","0.7867838740348816","0.8043016967950044","562.5","539","586","0.7072007474990123","0.6961262822151184","0.7111002579331398"
"12","611.5","588","635","0.7806858245877643","0.7600911259651184","0.7836288030330951","611.5","588","635","0.8084063819125219","0.8038736979166666","0.8100483206411203","611.5","588","635","0.7182285302023675","0.7137207046151162","0.7262369990348816"
"13","660.5","637","684","0.7861886354172468","0.7825520932674408","0.79248046875","660.5","637","684","0.8155896664187128","0.8127604007720948","0.8264973759651184","660.5","637","684","0.7229128610890267","0.7131438056627909","0.7278645634651184"
"14","709.5","686","733","0.7911683418097809","0.7744140625","0.7945384846793281","709.5","686","733","0.8196978977016002","0.8163248598575592","0.8362630009651184","709.5","686","733","0.7358801337175498","0.7323330965909091","0.7400715947151184"
"15","758.5","735","782","0.7995309503531863","0.78125","0.8035481770833334","758.5","735","782","0.8269285941664934","0.8242512981096903","0.8362630009651184","758.5","735","782","0.7441067850775562","0.741044709023009","0.7483723759651184"
"16","807.5","784","831","0.8032560214258675","0.7985026240348816","0.80625","807.5","784","831","0.8316090513254516","0.8229166865348816","0.8367745535714286","807.5","784","831","0.7438677034681326","0.7379557311534881","0.748246264954408"
"17","856.5","833","880","0.8109690054420627","0.8084852496782938","0.8209635615348816","856.5","833","880","0.8353422466554745","0.8311476962906974","0.8421223759651184","856.5","833","880","0.7602502034579025","0.7517903447151184","0.7636311836540699"
"18","905.5","882","929","0.8202159863190799","0.8177734388245477","0.8234049379825592","905.5","882","929","0.8348487064618585","0.8173828125","0.8379886994759241","905.5","882","929","0.7698889047018219","0.7587890625","0.7723958313465118"
"19","954.5","931","978","0.8280642402548568","0.8206380009651184","0.8312639508928571","954.5","931","978","0.8431744911828952","0.8410596672226401","0.8541666865348816","954.5","931","978","0.7793617325061772","0.7740423729022344","0.7871093869209289"
"20","1003.5","980","1027","0.8342320161135239","0.8308919261802327","0.8429361879825592","1003.5","980","1027","0.8495482415898882","0.8479103140714692","0.8548177182674408","1003.5","980","1027","0.7827017237246578","0.77734375","0.7876383438706398"
"21","1052.5","1029","1076","0.8391143131523203","0.822265625","0.8416666626930237","1052.5","1029","1076","0.8536183340367914","0.8430989682674408","0.8557518124580383","1052.5","1029","1076","0.7900423270931566","0.7885091066360473","0.7991536259651184"
"22","1101.5","1078","1125","0.8473556554224181","0.8452524038461539","0.8597005009651184","1101.5","1078","1125","0.863707040312229","0.8602884275217851","0.8707682291666666","1101.5","1078","1125","0.8010790951414237","0.7977268936786246","0.8111979365348816"
"23","1150.5","1127","1174","0.8583858744386258","0.8550618588924408","0.8619791865348816","1150.5","1127","1174","0.8703617696080003","0.8677429842452208","0.8779296875","1150.5","1127","1174","0.810735109383777","0.7981770634651184","0.8165457504136222"
"24","1199.5","1176","1223","0.8636451395610217","0.8580729365348816","0.8676525269235883","1199.5","1176","1223","0.8726105322755404","0.8701171875","0.8807508746782938","1199.5","1176","1223","0.8167317046417023","0.8118489384651184","0.8181295920820797"
"25","1248.5","1225","1272","0.8670032963788462","0.8652750651041666","0.8757595419883728","1248.5","1225","1272","0.8778118747871552","0.8753255208333334","0.8805338740348816","1248.5","1225","1272","0.8264655073716353","0.8204856476885207","0.8403862913449606"
"26","1297.5","1274","1321","0.8748984282968114","0.8726806603372097","0.8902994990348816","1297.5","1274","1321","0.8860483107633232","0.8822940972944101","0.8917643129825592","1297.5","1274","1321","0.8290501814185022","0.8237992636859417","0.835557738939921"
"27","1346.5","1323","1370","0.8800151998083208","0.8770587096611658","0.8974609375","1346.5","1323","1370","0.8869027415597559","0.8818359375","0.8893229195049831","1346.5","1323","1370","0.8343394350186942","0.8245442509651184","0.8380089889873158"
"28","1395.5","1372","1419","0.8822655127396613","0.8800628895455218","0.8893229067325592","1395.5","1372","1419","0.8942095284671617","0.8925365691489362","0.9012044072151184","","","","","",""
"29","1444.5","1421","1468","0.892759230000003","0.8898654381434122","0.8977864384651184","1444.5","1421","1468","0.9016679338690832","0.8983422314248434","0.90546875","","","","","",""
"30","1493.5","1470","1517","0.8982484445565518","0.8962170345087846","0.9036458134651184","","","","","","","","","","","",""
