"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Loss/Train","FCNN_Late_Fusion_ultrasound - Loss/Train__MIN","FCNN_Late_Fusion_ultrasound - Loss/Train__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Loss/Train","FCNN_Mid_Fusion_ultrasound - Loss/Train__MIN","FCNN_Mid_Fusion_ultrasound - Loss/Train__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Loss/Train","FCNN_no_ultrasound - Loss/Train__MIN","FCNN_no_ultrasound - Loss/Train__MAX","IMAV_Late_Fusion_ultrasound - _step","IMAV_Late_Fusion_ultrasound - _step__MIN","IMAV_Late_Fusion_ultrasound - _step__MAX","IMAV_Late_Fusion_ultrasound - Loss/Train","IMAV_Late_Fusion_ultrasound - Loss/Train__MIN","IMAV_Late_Fusion_ultrasound - Loss/Train__MAX","IMAV_Mid_Fusion_ultrasound - _step","IMAV_Mid_Fusion_ultrasound - _step__MIN","IMAV_Mid_Fusion_ultrasound - _step__MAX","IMAV_Mid_Fusion_ultrasound - Loss/Train","IMAV_Mid_Fusion_ultrasound - Loss/Train__MIN","IMAV_Mid_Fusion_ultrasound - Loss/Train__MAX","IMAV_no_ultrasound - _step","IMAV_no_ultrasound - _step__MIN","IMAV_no_ultrasound - _step__MAX","IMAV_no_ultrasound - Loss/Train","IMAV_no_ultrasound - Loss/Train__MIN","IMAV_no_ultrasound - Loss/Train__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Loss/Train","UNet_Late_Fusion_ultrasound - Loss/Train__MIN","UNet_Late_Fusion_ultrasound - Loss/Train__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Loss/Train","UNet_Mid_Fusion_ultrasound - Loss/Train__MIN","UNet_Mid_Fusion_ultrasound - Loss/Train__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Loss/Train","UNet_no_ultrasound - Loss/Train__MIN","UNet_no_ultrasound - Loss/Train__MAX"
"0","0","0","0","0.329085278014342","0.329085278014342","0.329085278014342","0","0","0","0.2605887825290362","0.2605887825290362","0.2605887825290362","0","0","0","0.3042482143888871","0.3042482143888871","0.3042482143888871","23.5","0","47","3.103594877762234","2.7125814110040665","4.603955507278442","23.5","0","47","3.1584509997626355","2.665451536575953","4.769230961799622","23.5","0","47","3.04864951703823","2.701954240600268","4.14280366897583","0","0","0","0.2681721967334549","0.2681721967334549","0.2681721967334549","0","0","0","0.7715061716735363","0.7715061716735363","0.7715061716735363","0","0","0","0.2443793990338842","0.2443793990338842","0.2443793990338842"
"1","3","3","3","0.2179474007959167","0.2179474007959167","0.2179474007959167","3","3","3","0.19600665972878537","0.19600665972878537","0.19600665972878537","3","3","3","0.27431433213253814","0.27431433213253814","0.27431433213253814","72.5","49","96","2.3122372557925392","2.2580218811829886","2.405528426170349","72.5","49","96","1.9807347586108588","1.9077470302581787","2.0495105584462485","72.5","49","96","2.323689065293674","2.2937301993370056","2.4008166790008545","3","3","3","0.17920543036113182","0.17920543036113182","0.17920543036113182","3","3","3","0.6382575122018656","0.6382575122018656","0.6382575122018656","3","3","3","0.23026764454940954","0.23026764454940954","0.23026764454940954"
"2","6","6","6","0.2036270573735237","0.2036270573735237","0.2036270573735237","6","6","6","0.1817620707054933","0.1817620707054933","0.1817620707054933","6","6","6","0.26093325670808554","0.26093325670808554","0.26093325670808554","121.5","98","145","2.0299781460348276","1.9457290942470233","2.1118971347808837","121.5","98","145","1.7832332572743033","1.7568044662475586","1.8159749507904053","121.5","98","145","2.17141033415744","2.1417994499206543","2.195163607597351","6","6","6","0.1538789157445232","0.1538789157445232","0.1538789157445232","6","6","6","0.5387207648406426","0.5387207648406426","0.5387207648406426","6","6","6","0.2227648114785552","0.2227648114785552","0.2227648114785552"
"3","9","9","9","0.19312958170970282","0.19312958170970282","0.19312958170970282","9","9","9","0.17135652371992668","0.17135652371992668","0.17135652371992668","9","9","9","0.25033909175544977","0.25033909175544977","0.25033909175544977","170.5","147","194","1.7789512978055002","1.7644450465838115","1.7894024848937988","170.5","147","194","1.672508418745142","1.6544607514920442","1.6998666524887085","170.5","147","194","2.0733698873386337","2.0552238474289575","2.09435772895813","9","9","9","0.14924002966533104","0.14924002966533104","0.14924002966533104","9","9","9","0.4171651639044285","0.4171651639044285","0.4171651639044285","9","9","9","0.21715939044952393","0.21715939044952393","0.21715939044952393"
"4","12","12","12","0.18416454022129378","0.18416454022129378","0.18416454022129378","12","12","12","0.1648698921004931","0.1648698921004931","0.1648698921004931","12","12","12","0.24152262446781","0.24152262446781","0.24152262446781","219.5","196","243","1.7166145322840425","1.6991873656709988","1.7511717081069946","219.5","196","243","1.5998201634669658","1.5778436586260796","1.682369589805603","219.5","196","243","2.000161337923712","1.976146823167801","2.0401236057281493","12","12","12","0.14743802572290102","0.14743802572290102","0.14743802572290102","12","12","12","0.29044710099697113","0.29044710099697113","0.29044710099697113","12","12","12","0.21278118124852577","0.21278118124852577","0.21278118124852577"
"5","15","15","15","0.17729789639512697","0.17729789639512697","0.17729789639512697","15","15","15","0.16093539260327816","0.16093539260327816","0.16093539260327816","15","15","15","0.23497954135139784","0.23497954135139784","0.23497954135139784","268.5","245","292","1.6684199132504849","1.6490490994554885","1.6931306719779968","268.5","245","292","1.5057646920207588","1.4855159223079681","1.5196197827657063","268.5","245","292","1.9133713416065332","1.902117873941149","1.9409393072128296","15","15","15","0.14603461821873984","0.14603461821873984","0.14603461821873984","15","15","15","0.18709383253008127","0.18709383253008127","0.18709383253008127","15","15","15","0.20963103510439396","0.20963103510439396","0.20963103510439396"
"6","18","18","18","0.17316165752708912","0.17316165752708912","0.17316165752708912","18","18","18","0.15753353325029215","0.15753353325029215","0.15753353325029215","18","18","18","0.22974984751393399","0.22974984751393399","0.22974984751393399","317.5","294","341","1.6137683002781598","1.6062763820994983","1.6221940517425537","317.5","294","341","1.4746008852617962","1.455869886610243","1.5295202732086182","317.5","294","341","1.871908417459381","1.860000721432946","1.8917627731959026","18","18","18","0.1446933209275206","0.1446933209275206","0.1446933209275206","18","18","18","0.15700934982548156","0.15700934982548156","0.15700934982548156","18","18","18","0.20707223967959484","0.20707223967959484","0.20707223967959484"
"7","21","21","21","0.16630077082663774","0.16630077082663774","0.16630077082663774","21","21","21","0.15664663507292667","0.15664663507292667","0.15664663507292667","21","21","21","0.22622201032936573","0.22622201032936573","0.22622201032936573","366.5","343","390","1.568516716379154","1.5549644761615329","1.5881978273391724","366.5","343","390","1.4344221851429007","1.4164343376954396","1.4975085258483887","366.5","343","390","1.8084686125683367","1.7998327120490696","1.8223139882087707","21","21","21","0.14305575440327326","0.14305575440327326","0.14305575440327326","21","21","21","0.15427070731918016","0.15427070731918016","0.15427070731918016","21","21","21","0.20462133983771005","0.20462133983771005","0.20462133983771005"
"8","24","24","24","0.16475030314177275","0.16475030314177275","0.16475030314177275","24","24","24","0.1538262078538537","0.1538262078538537","0.1538262078538537","24","24","24","0.22329420999934277","0.22329420999934277","0.22329420999934277","415.5","392","439","1.539268533556922","1.5047950744628906","1.5593321323394775","415.5","392","439","1.3949088029003676","1.372153193392652","1.433521568775177","415.5","392","439","1.7633600962995193","1.7514051894346874","1.800825794537862","24","24","24","0.14183379337191582","0.14183379337191582","0.14183379337191582","24","24","24","0.15240636840462685","0.15240636840462685","0.15240636840462685","24","24","24","0.20283247344195843","0.20283247344195843","0.20283247344195843"
"9","27","27","27","0.16219703884174427","0.16219703884174427","0.16219703884174427","27","27","27","0.15210609262188277","0.15210609262188277","0.15210609262188277","27","27","27","0.2212214988345901","0.2212214988345901","0.2212214988345901","464.5","441","488","1.5016457179999876","1.470402479171753","1.5151093764738603","464.5","441","488","1.3353535600087991","1.3215899765491486","1.3499961853027345","464.5","441","488","1.7273262370611928","1.720102071762085","1.7741788029670715","27","27","27","0.1409212670599421","0.1409212670599421","0.1409212670599421","27","27","27","0.15123312020053467","0.15123312020053467","0.15123312020053467","27","27","27","0.2007846599444747","0.2007846599444747","0.2007846599444747"
