"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Pearson/Val","FCNN_Late_Fusion_ultrasound - Pearson/Val__MIN","FCNN_Late_Fusion_ultrasound - Pearson/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Pearson/Val","FCNN_Mid_Fusion_ultrasound - Pearson/Val__MIN","FCNN_Mid_Fusion_ultrasound - Pearson/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Pearson/Val","FCNN_no_ultrasound - Pearson/Val__MIN","FCNN_no_ultrasound - Pearson/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Pearson/Val","UNet_Late_Fusion_ultrasound - Pearson/Val__MIN","UNet_Late_Fusion_ultrasound - Pearson/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Pearson/Val","UNet_Mid_Fusion_ultrasound - Pearson/Val__MIN","UNet_Mid_Fusion_ultrasound - Pearson/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Pearson/Val","UNet_no_ultrasound - Pearson/Val__MIN","UNet_no_ultrasound - Pearson/Val__MAX"
"0","2","2","2","0.4418316154396757","0.4418316154396757","0.4418316154396757","2","2","2","0.5379611903334155","0.5379611903334155","0.5379611903334155","2","2","2","0.12710956192410558","0.12710956192410558","0.12710956192410558","2","2","2","0.5723901347459771","0.5723901347459771","0.5723901347459771","2","2","2","-0.012560954458171056","-0.012560954458171056","-0.012560954458171056","2","2","2","0.12891450624140122","0.12891450624140122","0.12891450624140122"
"1","5","5","5","0.4930276385116349","0.4930276385116349","0.4930276385116349","5","5","5","0.5093226119804732","0.5093226119804732","0.5093226119804732","5","5","5","0.12260555290091076","0.12260555290091076","0.12260555290091076","5","5","5","0.5782817308845942","0.5782817308845942","0.5782817308845942","5","5","5","-0.001105748483739663","-0.001105748483739663","-0.001105748483739663","5","5","5","0.3110414430773049","0.3110414430773049","0.3110414430773049"
"2","8","8","8","0.4945942709782772","0.4945942709782772","0.4945942709782772","8","8","8","0.5535495240881242","0.5535495240881242","0.5535495240881242","8","8","8","0.1769363226295834","0.1769363226295834","0.1769363226295834","8","8","8","0.5959598358484643","0.5959598358484643","0.5959598358484643","8","8","8","0.13472577722647489","0.13472577722647489","0.13472577722647489","8","8","8","0.3107892585190799","0.3107892585190799","0.3107892585190799"
"3","11","11","11","0.5219508599620294","0.5219508599620294","0.5219508599620294","11","11","11","0.5810256896653258","0.5810256896653258","0.5810256896653258","11","11","11","0.22304963934553942","0.22304963934553942","0.22304963934553942","11","11","11","0.6173345364304675","0.6173345364304675","0.6173345364304675","11","11","11","0.4300098879246689","0.4300098879246689","0.4300098879246689","11","11","11","0.38811596878858673","0.38811596878858673","0.38811596878858673"
"4","14","14","14","0.5161304133701882","0.5161304133701882","0.5161304133701882","14","14","14","0.5921967889639962","0.5921967889639962","0.5921967889639962","14","14","14","0.25330184468206274","0.25330184468206274","0.25330184468206274","14","14","14","0.6247018050225575","0.6247018050225575","0.6247018050225575","14","14","14","0.5159091703771134","0.5159091703771134","0.5159091703771134","14","14","14","0.4258733754362815","0.4258733754362815","0.4258733754362815"
"5","17","17","17","0.5674222758420052","0.5674222758420052","0.5674222758420052","17","17","17","0.5987039352770714","0.5987039352770714","0.5987039352770714","17","17","17","0.2619551694232607","0.2619551694232607","0.2619551694232607","17","17","17","0.6405680062745708","0.6405680062745708","0.6405680062745708","17","17","17","0.5852622646475515","0.5852622646475515","0.5852622646475515","17","17","17","0.4563140212417888","0.4563140212417888","0.4563140212417888"
"6","20","20","20","0.5871276391356038","0.5871276391356038","0.5871276391356038","20","20","20","0.6000169454301217","0.6000169454301217","0.6000169454301217","20","20","20","0.2998907576060581","0.2998907576060581","0.2998907576060581","20","20","20","0.6581178478557167","0.6581178478557167","0.6581178478557167","20","20","20","0.5936206963209406","0.5936206963209406","0.5936206963209406","20","20","20","0.45828477480414215","0.45828477480414215","0.45828477480414215"
"7","23","23","23","0.6007370664516803","0.6007370664516803","0.6007370664516803","23","23","23","0.6030270639154941","0.6030270639154941","0.6030270639154941","23","23","23","0.33663050474146383","0.33663050474146383","0.33663050474146383","23","23","23","0.6714442910044042","0.6714442910044042","0.6714442910044042","23","23","23","0.5993367933185182","0.5993367933185182","0.5993367933185182","23","23","23","0.4675817032766456","0.4675817032766456","0.4675817032766456"
"8","26","26","26","0.38471907319837645","0.38471907319837645","0.38471907319837645","26","26","26","0.6112349002505262","0.6112349002505262","0.6112349002505262","26","26","26","0.3470975864592428","0.3470975864592428","0.3470975864592428","26","26","26","0.6664919087148938","0.6664919087148938","0.6664919087148938","26","26","26","0.6035220191141589","0.6035220191141589","0.6035220191141589","26","26","26","0.4838726242429188","0.4838726242429188","0.4838726242429188"
"9","29","29","29","0.3709802792861931","0.3709802792861931","0.3709802792861931","29","29","29","0.6087199720954782","0.6087199720954782","0.6087199720954782","29","29","29","0.3417754185035758","0.3417754185035758","0.3417754185035758","29","29","29","0.6774595652018163","0.6774595652018163","0.6774595652018163","29","29","29","0.603699191690343","0.603699191690343","0.603699191690343","29","29","29","0.4940777185443996","0.4940777185443996","0.4940777185443996"
"10","32","32","32","0.5934585819549413","0.5934585819549413","0.5934585819549413","32","32","32","0.6152398504513696","0.6152398504513696","0.6152398504513696","32","32","32","0.2973377384034002","0.2973377384034002","0.2973377384034002","32","32","32","0.6747069269913336","0.6747069269913336","0.6747069269913336","32","32","32","0.6075218659036152","0.6075218659036152","0.6075218659036152","32","32","32","0.5127989223322428","0.5127989223322428","0.5127989223322428"
