"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - R2/Val","FCNN_Late_Fusion_ultrasound - R2/Val__MIN","FCNN_Late_Fusion_ultrasound - R2/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - R2/Val","FCNN_Mid_Fusion_ultrasound - R2/Val__MIN","FCNN_Mid_Fusion_ultrasound - R2/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - R2/Val","FCNN_no_ultrasound - R2/Val__MIN","FCNN_no_ultrasound - R2/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - R2/Val","UNet_Late_Fusion_ultrasound - R2/Val__MIN","UNet_Late_Fusion_ultrasound - R2/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - R2/Val","UNet_Mid_Fusion_ultrasound - R2/Val__MIN","UNet_Mid_Fusion_ultrasound - R2/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - R2/Val","UNet_no_ultrasound - R2/Val__MIN","UNet_no_ultrasound - R2/Val__MAX"
"0","2","2","2","-0.4271799325942993","-0.4271799325942993","-0.4271799325942993","2","2","2","0.09804540872573853","0.09804540872573853","0.09804540872573853","2","2","2","-0.1574547290802002","-0.1574547290802002","-0.1574547290802002","2","2","2","0.23404347896575928","0.23404347896575928","0.23404347896575928","2","2","2","-6.643571853637695","-6.643571853637695","-6.643571853637695","2","2","2","-0.21983909606933594","-0.21983909606933594","-0.21983909606933594"
"1","5","5","5","-0.11126875877380371","-0.11126875877380371","-0.11126875877380371","5","5","5","-0.04029703140258789","-0.04029703140258789","-0.04029703140258789","5","5","5","-0.3461388349533081","-0.3461388349533081","-0.3461388349533081","5","5","5","0.27242153882980347","0.27242153882980347","0.27242153882980347","5","5","5","-5.031289577484131","-5.031289577484131","-5.031289577484131","5","5","5","0.08119350671768188","0.08119350671768188","0.08119350671768188"
"2","8","8","8","-0.12279939651489258","-0.12279939651489258","-0.12279939651489258","8","8","8","0.06415611505508423","0.06415611505508423","0.06415611505508423","8","8","8","-0.2664797306060791","-0.2664797306060791","-0.2664797306060791","8","8","8","0.28475844860076904","0.28475844860076904","0.28475844860076904","8","8","8","-3.8154397010803223","-3.8154397010803223","-3.8154397010803223","8","8","8","0.09596264362335205","0.09596264362335205","0.09596264362335205"
"3","11","11","11","0.013254702091217041","0.013254702091217041","0.013254702091217041","11","11","11","0.14466363191604614","0.14466363191604614","0.14466363191604614","11","11","11","-0.14330065250396729","-0.14330065250396729","-0.14330065250396729","11","11","11","0.3182830810546875","0.3182830810546875","0.3182830810546875","11","11","11","-1.4613635540008545","-1.4613635540008545","-1.4613635540008545","11","11","11","0.14610016345977783","0.14610016345977783","0.14610016345977783"
"4","14","14","14","-0.03610849380493164","-0.03610849380493164","-0.03610849380493164","14","14","14","0.1789122223854065","0.1789122223854065","0.1789122223854065","14","14","14","-0.08510613441467285","-0.08510613441467285","-0.08510613441467285","14","14","14","0.33077138662338257","0.33077138662338257","0.33077138662338257","14","14","14","-0.199631929397583","-0.199631929397583","-0.199631929397583","14","14","14","0.1798955202102661","0.1798955202102661","0.1798955202102661"
"5","17","17","17","0.17627465724945068","0.17627465724945068","0.17627465724945068","17","17","17","0.17616307735443115","0.17616307735443115","0.17616307735443115","17","17","17","-0.07291829586029053","-0.07291829586029053","-0.07291829586029053","17","17","17","0.3587827682495117","0.3587827682495117","0.3587827682495117","17","17","17","0.17809057235717773","0.17809057235717773","0.17809057235717773","17","17","17","0.19856739044189453","0.19856739044189453","0.19856739044189453"
"6","20","20","20","0.21447807550430298","0.21447807550430298","0.21447807550430298","20","20","20","0.21450644731521606","0.21450644731521606","0.21450644731521606","20","20","20","-0.006417751312255859","-0.006417751312255859","-0.006417751312255859","20","20","20","0.3823963403701782","0.3823963403701782","0.3823963403701782","20","20","20","0.16757524013519287","0.16757524013519287","0.16757524013519287","20","20","20","0.20549547672271729","0.20549547672271729","0.20549547672271729"
"7","23","23","23","0.26953786611557007","0.26953786611557007","0.26953786611557007","23","23","23","0.24614590406417847","0.24614590406417847","0.24614590406417847","23","23","23","0.031021952629089355","0.031021952629089355","0.031021952629089355","23","23","23","0.40487831830978394","0.40487831830978394","0.40487831830978394","23","23","23","0.20917296409606934","0.20917296409606934","0.20917296409606934","23","23","23","0.21671682596206665","0.21671682596206665","0.21671682596206665"
"8","26","26","26","-0.745130181312561","-0.745130181312561","-0.745130181312561","26","26","26","0.2571054697036743","0.2571054697036743","0.2571054697036743","26","26","26","0.05522489547729492","0.05522489547729492","0.05522489547729492","26","26","26","0.4010292887687683","0.4010292887687683","0.4010292887687683","26","26","26","0.2562200427055359","0.2562200427055359","0.2562200427055359","26","26","26","0.231764018535614","0.231764018535614","0.231764018535614"
"9","29","29","29","-0.8581686019897461","-0.8581686019897461","-0.8581686019897461","29","29","29","0.2606534957885742","0.2606534957885742","0.2606534957885742","29","29","29","0.04366832971572876","0.04366832971572876","0.04366832971572876","29","29","29","0.4144296646118164","0.4144296646118164","0.4144296646118164","29","29","29","0.2330142855644226","0.2330142855644226","0.2330142855644226","29","29","29","0.2323906421661377","0.2323906421661377","0.2323906421661377"
"10","32","32","32","0.24591565132141113","0.24591565132141113","0.24591565132141113","32","32","32","0.26877087354660034","0.26877087354660034","0.26877087354660034","32","32","32","-0.0019440650939941406","-0.0019440650939941406","-0.0019440650939941406","32","32","32","0.4162578582763672","0.4162578582763672","0.4162578582763672","32","32","32","0.2540624737739563","0.2540624737739563","0.2540624737739563","32","32","32","0.2562398314476013","0.2562398314476013","0.2562398314476013"
"11","35","35","35","0.2873494029045105","0.2873494029045105","0.2873494029045105","35","35","35","0.2915789484977722","0.2915789484977722","0.2915789484977722","35","35","35","0.11636567115783691","0.11636567115783691","0.11636567115783691","35","35","35","0.4327349066734314","0.4327349066734314","0.4327349066734314","35","35","35","0.3054214119911194","0.3054214119911194","0.3054214119911194","35","35","35","0.26580554246902466","0.26580554246902466","0.26580554246902466"
"12","38","38","38","0.2237699031829834","0.2237699031829834","0.2237699031829834","38","38","38","0.2656165361404419","0.2656165361404419","0.2656165361404419","38","38","38","-0.0071974992752075195","-0.0071974992752075195","-0.0071974992752075195","38","38","38","0.40819627046585083","0.40819627046585083","0.40819627046585083","38","38","38","0.30182117223739624","0.30182117223739624","0.30182117223739624","38","38","38","0.264212429523468","0.264212429523468","0.264212429523468"
"13","41","41","41","0.10403585433959961","0.10403585433959961","0.10403585433959961","41","41","41","0.28093403577804565","0.28093403577804565","0.28093403577804565","41","41","41","0.11856520175933838","0.11856520175933838","0.11856520175933838","41","41","41","0.45660799741744995","0.45660799741744995","0.45660799741744995","41","41","41","0.31473231315612793","0.31473231315612793","0.31473231315612793","41","41","41","0.2733924388885498","0.2733924388885498","0.2733924388885498"
"14","44","44","44","0.06588500738143921","0.06588500738143921","0.06588500738143921","44","44","44","0.31112396717071533","0.31112396717071533","0.31112396717071533","44","44","44","0.10203737020492554","0.10203737020492554","0.10203737020492554","44","44","44","0.438299298286438","0.438299298286438","0.438299298286438","44","44","44","0.2925996780395508","0.2925996780395508","0.2925996780395508","44","44","44","0.2587559223175049","0.2587559223175049","0.2587559223175049"
